math_test,lang_test,got_in
86.84633858532304,72.54261221288012,1.0
38.99361310081195,45.91760776535502,-1.0
89.04050856814538,77.85648581973632,1.0
38.98293387770603,42.80328112162488,-1.0
69.49336568933867,91.25667347765008,1.0
48.142473325952736,55.03532897892024,-1.0
83.3871428833399,87.93072473298682,1.0
75.09463674869312,85.13001891877907,1.0
40.365823071875376,40.2082576215471,-1.0
50.42560043585965,54.75545127122359,-1.0
51.47688538100692,38.23077999694041,-1.0
81.77938483794324,84.27171087343127,1.0
40.393612290402125,47.96120277064576,-1.0
90.21941565616898,85.58208718446,1.0
75.80575765766197,82.7653721467415,1.0
74.37696286273895,74.29107501938887,1.0
33.490064225776976,45.87047068238172,-1.0
92.51933032686776,77.4626383564251,1.0
100.4993440501754,92.14000494092092,1.0
81.57285483473231,78.1997527842151,1.0
52.38466579995411,45.9707754934804,-1.0
73.31321962380468,103.96792982653947,1.0
87.96984673233186,73.57029702169376,1.0
109.63242112485288,76.7931768164829,1.0
89.73592430635182,89.82472415243186,1.0
49.96714153011233,48.24083969394795,-1.0
37.801557916052914,30.36485051867881,-1.0
40.34270246429743,43.14341023336183,-1.0
92.81822871777312,88.85317379728836,1.0
45.67528204687924,44.64173960890049,-1.0
84.65288230294756,93.2206015999449,1.0
59.65648768921554,48.61395605508414,-1.0
34.422890710441,39.81729781726352,-1.0
87.2745993460413,80.53485047932979,1.0
48.75698018345672,42.009926495341325,-1.0
25.403298761202244,48.287511096596845,-1.0
71.79543386915724,86.53725105945527,1.0
35.91975924478789,48.61636025047634,-1.0
92.91031947043048,76.10485570374476,1.0
77.16746707663764,89.73237624573545,1.0
79.33702270397228,99.53534077157316,1.0
46.96861235869123,50.13267433113356,-1.0
53.225449121031886,36.91506397106812,-1.0
42.08306250206724,25.124310853991076,-1.0
99.027943109361,84.22898290585896,1.0
85.68562974806028,76.42842443583717,1.0
87.57550390722764,73.08696502797352,1.0
60.23029856408026,51.11676288840868,-1.0
68.92516765438772,87.14093744130204,1.0
42.65846625276664,55.30999522495951,-1.0
65.81228784700959,75.25318329772679,1.0
41.98896304410711,41.72337853402232,-1.0
85.99651365087641,82.35343166762044,1.0
72.63049289121918,76.16142563798867,1.0
47.08863595004755,54.15402117702074,-1.0
87.59882794248423,86.73180925851182,1.0
76.9772273077838,87.32253697161003,1.0
90.8685709380027,87.7669079933002,1.0
42.6586304305082,54.31280119116199,-1.0
98.07142754282428,93.56398794323472,1.0
80.79354677234642,88.46448209496975,1.0
48.43618289568462,45.05113456642461,-1.0
70.98148937207719,88.41151974816644,1.0
79.965243458838,112.2016916658962,1.0
96.4282281451502,82.5461188399713,1.0
42.74223699513465,60.38036566465969,-1.0
84.73486124550783,92.87084603742451,1.0
75.9061254520526,76.84189715034562,1.0
86.74577812831839,89.73832920911788,1.0
93.1351721736967,76.53206281931595,1.0
70.84629257949585,87.50492850345877,1.0
85.60230209941027,96.58595579007404,1.0
63.522781845089376,48.57112571511746,-1.0
88.01547342333612,89.12780926936499,1.0
27.750821674869677,53.125258223941984,-1.0
106.9045562580998,93.27183249036024,1.0
25.86719755342202,33.037933759193294,-1.0
39.37712470759027,58.56240028570823,-1.0
52.67434729152909,41.907876241487855,-1.0
83.07639035218878,94.6337612924432,1.0
30.876962986647086,38.54880245394876,-1.0
30.214780096325725,41.07891846867842,-1.0
32.791563500289776,39.98242956415464,-1.0
103.8618590121053,103.65774511144755,1.0
60.79212815507391,36.607824767773614,-1.0
84.25554084233833,91.5655360863383,1.0
47.41962271566034,33.93665025993972,-1.0
30.752518137865437,60.64643655814006,-1.0
39.556172754748175,18.802548959102555,-1.0
27.36959844637266,42.65412866624853,-1.0
46.10922589709866,53.21902504375224,-1.0
46.7136828118997,54.68644990532889,-1.0
31.718139511015693,39.70239796232961,-1.0
55.57122226218915,47.610552721798896,-1.0
43.8435171761176,37.97946906122648,-1.0
40.30525614065048,48.31263431403564,-1.0
44.86502775262066,59.77894044741516,-1.0
34.87168879665576,44.27989878419666,-1.0
72.69135683566044,69.85152775314135,1.0
43.61735698828815,41.14917719583684,-1.0
